,Index,Canonical_Smiles,PROJECT,LIBRARY,DataSet
0,1,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,MMV_PUBLIC,Active,MMV_JohnsHopkins
1,2,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,MMV_PUBLIC,Active,MMV_JohnsHopkins
2,3,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,MMV_PUBLIC,Active,MMV_JohnsHopkins
3,4,COc1cc(NC(C)CCCN)c2ncccc2c1,MMV_PUBLIC,Active,MMV_JohnsHopkins
4,5,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,MMV_PUBLIC,Active,MMV_JohnsHopkins
5,6,Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2,MMV_PUBLIC,Active,MMV_JohnsHopkins
6,7,CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,MMV_PUBLIC,Active,MMV_JohnsHopkins
7,8,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1,MMV_PUBLIC,Active,MMV_JohnsHopkins
8,9,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1,MMV_PUBLIC,Active,MMV_JohnsHopkins
9,10,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc3ccc(OC)cc13,MMV_PUBLIC,Active,MMV_JohnsHopkins
10,11,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,MMV_PUBLIC,Active,MMV_JohnsHopkins
11,12,Cc1nc(C)c(Cl)c(O)c1Cl,MMV_PUBLIC,Active,MMV_JohnsHopkins
12,13,CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,MMV_PUBLIC,Active,MMV_JohnsHopkins
13,14,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,MMV_PUBLIC,Active,MMV_JohnsHopkins
14,15,CC(=O)c1ccc2Sc3ccccc3N(CCCN4CCC(CCO)CC4)c2c1,MMV_PUBLIC,Active,MMV_JohnsHopkins
15,16,CC(C)NCC(O)c1ccc2ccccc2c1,MMV_PUBLIC,Active,MMV_JohnsHopkins
16,17,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,MMV_PUBLIC,Active,MMV_JohnsHopkins
17,18,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]3c(C)cc(N)c4ccccc34,MMV_PUBLIC,Active,MMV_JohnsHopkins
18,19,Oc1nc2ccccc2n1CCCN3CCC(CC3)n4c(O)nc5cc(Cl)ccc45,MMV_PUBLIC,Active,MMV_JohnsHopkins
19,20,CN1C2CCC1CC(C2)OC(c3ccccc3)c4ccccc4,MMV_PUBLIC,Active,MMV_JohnsHopkins
20,21,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,MMV_PUBLIC,Active,MMV_JohnsHopkins
21,22,Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1,MMV_PUBLIC,Active,MMV_JohnsHopkins
22,23,NC(=N)NC(=O)Cc1c(Cl)cccc1Cl,MMV_PUBLIC,Active,MMV_JohnsHopkins
23,24,Oc1ncc(F)c(O)n1,MMV_PUBLIC,Active,MMV_JohnsHopkins
24,25,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4,MMV_PUBLIC,Active,MMV_JohnsHopkins
25,26,NC(=N)NC(=O)c1nc(Cl)c(nc1N)N2CCCCCC2,MMV_PUBLIC,Active,MMV_JohnsHopkins
26,27,CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2,MMV_PUBLIC,Active,MMV_JohnsHopkins
27,28,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,MMV_PUBLIC,Active,MMV_JohnsHopkins
28,29,OC1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C#N)CC1,MMV_PUBLIC,Active,MMV_JohnsHopkins
29,30,CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,MMV_PUBLIC,Active,MMV_JohnsHopkins
30,31,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,MMV_PUBLIC,Active,MMV_JohnsHopkins
31,32,CN(C)C(=S)SSC(=S)N(C)C,MMV_PUBLIC,Active,MMV_JohnsHopkins
32,33,OC1=C(C2CCC(CC2)c3ccc(Cl)cc3)C(=O)C(=O)c4ccccc14,MMV_PUBLIC,Active,MMV_JohnsHopkins
33,34,Clc1ccc(cc1)C(OCCN2CCCCC2)c3ccccc3,MMV_PUBLIC,Active,MMV_JohnsHopkins
34,35,Fc1ccc(cc1)C(c2ccccc2)(c3ccccc3F)n4ccnc4,MMV_PUBLIC,Active,MMV_JohnsHopkins
35,36,C(C(C1CCCCC1)C2CCCCC2)C3CCCCN3,MMV_PUBLIC,Active,MMV_JohnsHopkins
36,37,CNC(C)(C)Cc1ccccc1,MMV_PUBLIC,Active,MMV_JohnsHopkins
37,38,Cc1cc(ccc1OCCOCC[N+](C)(C)Cc2ccccc2)C(C)(C)CC(C)(C)C,MMV_PUBLIC,Active,MMV_JohnsHopkins
38,39,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,MMV_PUBLIC,Active,MMV_JohnsHopkins
39,40,CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,MMV_PUBLIC,Active,MMV_JohnsHopkins
40,41,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,MMV_PUBLIC,Active,MMV_JohnsHopkins
41,42,CCN(CC)CCOc1ccc2c(c1)C(=O)c3cc(OCCN(CC)CC)ccc23,MMV_PUBLIC,Active,MMV_JohnsHopkins
42,43,Clc1ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(Cl)cc2)cc1,MMV_PUBLIC,Active,MMV_JohnsHopkins
43,44,Clc1ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(Cl)cc2)cc1,MMV_PUBLIC,Active,MMV_JohnsHopkins
44,45,COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC,MMV_PUBLIC,Active,MMV_JohnsHopkins
45,46,CC[Hg]Sc1ccccc1C(=O)O,MMV_PUBLIC,Active,MMV_JohnsHopkins
46,47,CCCCCCCCCCCCCCCC[n+]1ccccc1,MMV_PUBLIC,Active,MMV_JohnsHopkins
47,48,CCN(CC)CCNc1ccc(CO)c2Sc3ccccc3C(=O)c12,MMV_PUBLIC,Active,MMV_JohnsHopkins
